i,j,path1,path2,embedding_distance
156,222,images/image_239.jpg,images/image_299.jpg,4.845857620239258e-05
274,549,images/image_345.jpg,images/image_593.jpg,4.863739013671875e-05
261,354,images/image_333.jpg,images/image_417.jpg,4.9054622650146484e-05
300,439,images/image_369.jpg,images/image_494.jpg,4.9233436584472656e-05
314,441,images/image_381.jpg,images/image_496.jpg,4.941225051879883e-05
38,489,images/image_132.jpg,images/image_539.jpg,5.0187110900878906e-05
485,549,images/image_535.jpg,images/image_593.jpg,5.054473876953125e-05
295,513,images/image_364.jpg,images/image_560.jpg,5.1081180572509766e-05
125,468,images/image_210.jpg,images/image_52.jpg,5.143880844116211e-05
467,597,images/image_519.jpg,images/image_97.jpg,5.161762237548828e-05
206,472,images/image_284.jpg,images/image_523.jpg,5.179643630981445e-05
463,483,images/image_515.jpg,images/image_533.jpg,5.1915645599365234e-05
99,459,images/image_188.jpg,images/image_511.jpg,5.2034854888916016e-05
274,485,images/image_345.jpg,images/image_535.jpg,5.227327346801758e-05
148,532,images/image_231.jpg,images/image_578.jpg,5.2869319915771484e-05
272,434,images/image_343.jpg,images/image_49.jpg,5.2988529205322266e-05
207,460,images/image_285.jpg,images/image_512.jpg,5.358457565307617e-05
72,498,images/image_163.jpg,images/image_547.jpg,5.364418029785156e-05
420,449,images/image_477.jpg,images/image_502.jpg,5.3822994232177734e-05
178,418,images/image_259.jpg,images/image_475.jpg,5.4001808166503906e-05
104,580,images/image_192.jpg,images/image_81.jpg,5.429983139038086e-05
198,234,images/image_277.jpg,images/image_309.jpg,5.429983139038086e-05
540,557,images/image_585.jpg,images/image_60.jpg,5.4776668548583984e-05
462,534,images/image_514.jpg,images/image_58.jpg,5.525350570678711e-05
449,510,images/image_502.jpg,images/image_558.jpg,5.53131103515625e-05
269,329,images/image_340.jpg,images/image_395.jpg,5.5909156799316406e-05
5,76,images/image_102.jpg,images/image_167.jpg,5.6862831115722656e-05
20,46,images/image_116.jpg,images/image_14.jpg,5.6862831115722656e-05
112,208,images/image_2.jpg,images/image_286.jpg,5.692243576049805e-05
127,186,images/image_212.jpg,images/image_266.jpg,5.7756900787353516e-05
154,327,images/image_237.jpg,images/image_393.jpg,5.817413330078125e-05
362,409,images/image_424.jpg,images/image_467.jpg,5.823373794555664e-05
184,226,images/image_264.jpg,images/image_301.jpg,5.8710575103759766e-05
160,463,images/image_242.jpg,images/image_515.jpg,5.918741226196289e-05
369,480,images/image_430.jpg,images/image_530.jpg,5.924701690673828e-05
267,468,images/image_339.jpg,images/image_52.jpg,5.984306335449219e-05
328,558,images/image_394.jpg,images/image_61.jpg,5.996227264404297e-05
188,234,images/image_268.jpg,images/image_309.jpg,6.0558319091796875e-05
73,594,images/image_164.jpg,images/image_94.jpg,6.103515625e-05
293,528,images/image_362.jpg,images/image_574.jpg,6.115436553955078e-05
185,476,images/image_265.jpg,images/image_527.jpg,6.127357482910156e-05
184,579,images/image_264.jpg,images/image_80.jpg,6.133317947387695e-05
75,227,images/image_166.jpg,images/image_302.jpg,6.157159805297852e-05
187,388,images/image_267.jpg,images/image_448.jpg,6.186962127685547e-05
25,572,images/image_120.jpg,images/image_74.jpg,6.210803985595703e-05
348,456,images/image_411.jpg,images/image_509.jpg,6.246566772460938e-05
350,478,images/image_413.jpg,images/image_529.jpg,6.264448165893555e-05
96,222,images/image_185.jpg,images/image_299.jpg,6.282329559326172e-05
64,459,images/image_156.jpg,images/image_511.jpg,6.300210952758789e-05
151,185,images/image_234.jpg,images/image_265.jpg,6.330013275146484e-05
540,581,images/image_585.jpg,images/image_82.jpg,6.520748138427734e-05
65,394,images/image_157.jpg,images/image_453.jpg,6.538629531860352e-05
394,507,images/image_453.jpg,images/image_555.jpg,6.538629531860352e-05
330,565,images/image_396.jpg,images/image_68.jpg,6.556510925292969e-05
162,517,images/image_244.jpg,images/image_564.jpg,6.657838821411133e-05
66,404,images/image_158.jpg,images/image_462.jpg,6.67572021484375e-05
65,360,images/image_157.jpg,images/image_422.jpg,6.771087646484375e-05
360,507,images/image_422.jpg,images/image_555.jpg,6.771087646484375e-05
87,421,images/image_177.jpg,images/image_478.jpg,6.794929504394531e-05
113,525,images/image_20.jpg,images/image_571.jpg,6.830692291259766e-05
125,494,images/image_210.jpg,images/image_543.jpg,6.848573684692383e-05
149,302,images/image_232.jpg,images/image_370.jpg,6.860494613647461e-05
286,404,images/image_356.jpg,images/image_462.jpg,6.884336471557617e-05
75,222,images/image_166.jpg,images/image_299.jpg,6.914138793945312e-05
42,181,images/image_136.jpg,images/image_261.jpg,6.99162483215332e-05
241,359,images/image_315.jpg,images/image_421.jpg,7.015466690063477e-05
50,411,images/image_143.jpg,images/image_469.jpg,7.027387619018555e-05
86,115,images/image_176.jpg,images/image_201.jpg,7.063150405883789e-05
86,110,images/image_176.jpg,images/image_198.jpg,7.063150405883789e-05
175,359,images/image_256.jpg,images/image_421.jpg,7.069110870361328e-05
285,468,images/image_355.jpg,images/image_52.jpg,7.110834121704102e-05
123,527,images/image_209.jpg,images/image_573.jpg,7.158517837524414e-05
42,177,images/image_136.jpg,images/image_258.jpg,7.176399230957031e-05
148,186,images/image_231.jpg,images/image_266.jpg,7.18832015991211e-05
61,536,images/image_153.jpg,images/image_581.jpg,7.2479248046875e-05
158,183,images/image_240.jpg,images/image_263.jpg,7.2479248046875e-05
222,434,images/image_299.jpg,images/image_49.jpg,7.259845733642578e-05
74,480,images/image_165.jpg,images/image_530.jpg,7.331371307373047e-05
233,461,images/image_308.jpg,images/image_513.jpg,7.349252700805664e-05
351,422,images/image_414.jpg,images/image_479.jpg,7.349252700805664e-05
